run iter 0
run iter 2
run iter 4
run iter 6
run iter 8
Good model: 13	Bad model: 10	Draws:177
         121942046 function calls (120868563 primitive calls) in 121.265 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1666    0.001    0.000    0.432    0.000 __init__.py:1900(result)
    60522    0.426    0.000    0.426    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
        2    0.001    0.000    0.421    0.210 decompositions.py:1(<module>)
      115    0.001    0.000    0.420    0.004 _tensor.py:428(backward)
      115    0.001    0.000    0.419    0.004 __init__.py:106(backward)
      115    0.415    0.004    0.415    0.004 {method 'run_backward' of 'torch._C._EngineBase' objects}
   115472    0.226    0.000    0.407    0.000 {built-in method builtins.max}
   115745    0.071    0.000    0.394    0.000 __init__.py:1769(checkers_mask)
    60637    0.038    0.000    0.391    0.000 flatten.py:45(forward)
        1    0.000    0.000    0.376    0.376 fake_tensor.py:1(<module>)
   271913    0.206    0.000    0.374    0.000 __init__.py:915(_set_piece_at)
        1    0.000    0.000    0.372    0.372 _guards.py:1(<module>)
   456118    0.226    0.000    0.364    0.000 __init__.py:740(king)
    60637    0.353    0.000    0.353    0.000 {method 'flatten' of 'torch._C._TensorBase' objects}
    60875    0.041    0.000    0.333    0.000 __init__.py:91(_nvml_based_avail)
   110005    0.220    0.000    0.329    0.000 __init__.py:3590(generate_castling_moves)
   271899    0.113    0.000    0.324    0.000 __init__.py:2170(_board_state)
  2680785    0.323    0.000    0.323    0.000 __init__.py:3156(is_en_passant)
        2    0.000    0.000    0.319    0.160 networks.py:867(__init__)
     1301    0.007    0.000    0.300    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
    60902    0.029    0.000    0.292    0.000 <frozen os>:773(getenv)
  1361374    0.279    0.000    0.279    0.000 {method 'replace' of 'str' objects}
   158020    0.092    0.000    0.279    0.000 __init__.py:3180(is_irreversible)
  5684111    0.277    0.000    0.277    0.000 {method 'bit_length' of 'int' objects}
   849060    0.207    0.000    0.263    0.000 __init__.py:287(msb)
    60919    0.072    0.000    0.262    0.000 <frozen _collections_abc>:771(get)
   115663    0.117    0.000    0.257    0.000 __init__.py:1973(is_insufficient_material)
   158020    0.086    0.000    0.233    0.000 __init__.py:2297(pop)
    55371    0.218    0.000    0.218    0.000 {built-in method builtins.sum}
       12    0.000    0.000    0.213    0.018 init.py:366(kaiming_uniform_)
