         105709135 function calls (104083120 primitive calls) in 73.797 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1964/1    0.045    0.000   73.999   73.999 {built-in method builtins.exec}
        1    0.004    0.004   73.999   73.999 scratch.py:1(<module>)
        6    0.001    0.000   70.643   11.774 rl.py:1389(get_policy)
  701/264    0.805    0.001   70.641    0.268 rl.py:1330(update_tree)
      533    0.166    0.000   61.793    0.116 rl.py:1236(create_board_img_static)
      533    0.005    0.000   55.019    0.103 __init__.py:51(svg2png)
      533    0.008    0.000   55.012    0.103 surface.py:96(convert)
      533    0.010    0.000   48.929    0.092 surface.py:141(__init__)
149007/533    4.320    0.000   48.842    0.092 surface.py:280(draw)
    17024    0.191    0.000   27.986    0.002 defs.py:335(use)
    56945    4.112    0.000   14.662    0.000 path.py:121(path)
    17557    0.413    0.000   13.170    0.001 parser.py:343(__init__)
      227    0.336    0.001    8.529    0.038 __init__.py:1(<module>)
180039/17557    1.990    0.000    8.333    0.000 parser.py:157(__init__)
   539097    0.832    0.000    6.170    0.000 helpers.py:75(normalize)
      263    5.459    0.021    5.459    0.021 {method 'cpu' of 'torch._C._TensorBase' objects}
  1618521    0.861    0.000    5.192    0.000 __init__.py:178(sub)
  1186985    1.831    0.000    4.772    0.000 helpers.py:84(point)
  3723093    1.891    0.000    3.683    0.000 helpers.py:341(size)
    13858    0.154    0.000    3.406    0.000 serialization.py:671(load)
  1471340    1.132    0.000    3.390    0.000 tree.py:23(__get__)
  1618728    2.537    0.000    3.318    0.000 {method 'sub' of 're.Pattern' objects}
1187792/148474    1.472    0.000    3.273    0.000 copy.py:128(deepcopy)
   553438    0.303    0.000    2.859    0.000 url.py:87(parse_url)
   148474    0.311    0.000    2.815    0.000 copy.py:210(_deepcopy_tuple)
  1093705    0.852    0.000    2.744    0.000 tree.py:155(iter_children)
   360078    1.075    0.000    2.720    0.000 __init__.py:75(match)
   409640    0.408    0.000    2.692    0.000 tree.py:172(iter_subtree)
      533    0.222    0.000    2.592    0.005 svg.py:237(board)
  1731/14    0.012    0.000    2.525    0.180 <frozen importlib._bootstrap>:1167(_find_and_load)
  1729/14    0.008    0.000    2.524    0.180 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
  1659/15    0.006    0.000    2.519    0.168 <frozen importlib._bootstrap>:666(_load_unlocked)
  1596/14    0.005    0.000    2.518    0.180 <frozen importlib._bootstrap_external>:934(exec_module)
  3776/22    0.003    0.000    2.516    0.114 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   148474    0.169    0.000    2.495    0.000 copy.py:211(<listcomp>)
  3130761    1.810    0.000    2.368    0.000 context.py:106(_check_status)
   735377    0.191    0.000    2.296    0.000 {built-in method builtins.next}
  1238278    0.632    0.000    2.055    0.000 __init__.py:163(match)
   726/65    0.002    0.000    1.898    0.029 {built-in method builtins.__import__}
  2893215    1.314    0.000    1.893    0.000 __init__.py:272(_compile)
   553438    1.042    0.000    1.880    0.000 parse.py:365(urlparse)
 2300/741    0.005    0.000    1.841    0.002 <frozen importlib._bootstrap>:1209(_handle_fromlist)
12887/263    0.036    0.000    1.716    0.007 module.py:1494(_call_impl)
      263    0.004    0.000    1.712    0.007 networks.py:234(forward)
      789    0.031    0.000    1.704    0.002 container.py:215(forward)
      533    0.004    0.000    1.569    0.003 ElementTree.py:1081(tostring)
      533    0.006    0.000    1.565    0.003 ElementTree.py:693(write)
    14373    0.061    0.000    1.497    0.000 css.py:51(parse_declarations)
    13858    0.091    0.000    1.455    0.000 serialization.py:1104(_load)
   148473    0.870    0.000    1.452    0.000 path.py:15(draw_markers)
   296948    0.443    0.000    1.297    0.000 copy.py:201(_deepcopy_list)
     2104    0.007    0.000    1.259    0.001 conv.py:462(forward)
     2104    0.003    0.000    1.249    0.001 conv.py:454(_conv_forward)
    14373    0.045    0.000    1.246    0.000 parser.py:145(parse_declaration_list)
     2104    1.245    0.001    1.245    0.001 {built-in method torch.conv2d}
   555631    0.380    0.000    1.228    0.000 tree.py:260(etree_children)
   148474    0.113    0.000    1.137    0.000 helpers.py:294(clip_rect)
118859/533    0.625    0.000    1.127    0.002 ElementTree.py:864(_serialize_xml)
   223484    0.128    0.000    1.118    0.000 surface.py:275(map_color)
   148474    0.270    0.000    1.103    0.000 helpers.py:196(transform)
   111742    0.998    0.000    1.086    0.000 context.py:1473(stroke)
    13858    0.121    0.000    1.061    0.000 {method 'load' of '_pickle.Unpickler' objects}
 11261037    1.039    0.000    1.039    0.000 {method 'get' of 'dict' objects}
   223484    0.595    0.000    0.989    0.000 colors.py:196(color)
    14373    0.017    0.000    0.953    0.000 parser.py:5(_to_token_iterator)
    14373    0.389    0.000    0.932    0.000 tokenizer.py:17(parse_component_value_list)
   148473    0.203    0.000    0.891    0.000 context.py:1839(get_font_options)
9210658/9210106    0.858    0.000    0.862    0.000 {built-in method builtins.isinstance}
   555631    0.714    0.000    0.848    0.000 tree.py:272(<listcomp>)
        1    0.001    0.001    0.781    0.781 _meta_registrations.py:1(<module>)
      533    0.003    0.000    0.753    0.001 common.py:119(fromstring)
      533    0.001    0.000    0.729    0.001 ElementTree.py:1706(feed)
     1066    0.295    0.000    0.728    0.001 {method 'Parse' of 'pyexpat.xmlparser' objects}
   148473    0.220    0.000    0.687    0.000 fonts.py:391(__init__)
  1334615    0.686    0.000    0.686    0.000 {method 'match' of 're.Pattern' objects}
