   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1607    0.002    0.000    0.051    0.000 inspect.py:3278(signature)
        1    0.000    0.000    0.050    0.050 _jit_internal.py:1(<module>)
        1    0.000    0.000    0.050    0.050 polytools.py:1(<module>)
     1607    0.001    0.000    0.050    0.000 inspect.py:3024(from_callable)
2262/1617    0.009    0.000    0.049    0.000 inspect.py:2428(_signature_from_callable)
      449    0.001    0.000    0.049    0.000 __init__.py:80(decomposition_decorator)
        1    0.000    0.000    0.049    0.049 partfrac.py:1(<module>)
        1    0.000    0.000    0.049    0.049 decorator.py:59(xthreaded)
        1    0.000    0.000    0.049    0.049 decorator.py:10(threaded_factory)
      425    0.000    0.000    0.047    0.000 basic.py:116(__init_subclass__)
      426    0.022    0.000    0.047    0.000 assumptions.py:614(_prepare_class_assumptions)
     1714    0.046    0.000    0.046    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.045    0.045 _joblib.py:1(<module>)
        1    0.000    0.000    0.043    0.043 base_events.py:1(<module>)
     3554    0.002    0.000    0.043    0.000 <frozen importlib._bootstrap>:392(cached)
      550    0.001    0.000    0.042    0.000 _pytree.py:194(tree_map)
        2    0.000    0.000    0.042    0.021 quantize.py:1(<module>)
     1840    0.002    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.039    0.039 point.py:1(<module>)
      403    0.002    0.000    0.039    0.000 dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.038    0.038 entity.py:1(<module>)
  126/115    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
      550    0.000    0.000    0.037    0.000 _pytree.py:196(<listcomp>)
  126/115    0.012    0.000    0.037    0.000 {built-in method _imp.exec_dynamic}
      592    0.003    0.000    0.036    0.000 __init__.py:31(_add_op_to_registry)
        1    0.000    0.000    0.036    0.036 proxy_tensor.py:1(<module>)
      650    0.001    0.000    0.036    0.000 __init__.py:272(_compile)
        1    0.000    0.000    0.036    0.036 expr.py:1(<module>)
      454    0.000    0.000    0.035    0.000 __init__.py:127(register)
        1    0.000    0.000    0.035    0.035 _discrete_distns.py:1(<module>)
3613/3426    0.002    0.000    0.035    0.000 typing.py:349(inner)
        2    0.000    0.000    0.035    0.017 python.py:1(<module>)
        3    0.000    0.000    0.034    0.011 numbers.py:1(<module>)
      152    0.000    0.000    0.034    0.000 __init__.py:225(compile)
      104    0.001    0.000    0.034    0.000 _compiler.py:738(compile)
        1    0.003    0.003    0.033    0.033 _meta_registrations.py:2649(activate_meta)
        1    0.000    0.000    0.033    0.033 lgmres.py:1(<module>)
     1464    0.005    0.000    0.033    0.000 _ops.py:447(__getattr__)
       43    0.000    0.000    0.032    0.001 dispatcher.py:147(_)
        1    0.000    0.000    0.032    0.032 immutable.py:1(<module>)
        1    0.000    0.000    0.032    0.032 parallel.py:1(<module>)
        1    0.000    0.000    0.031    0.031 ctx_fp.py:1(<module>)
       86    0.000    0.000    0.031    0.000 conflict.py:24(ambiguities)
       86    0.005    0.000    0.031    0.000 conflict.py:27(<setcomp>)
     1146    0.011    0.000    0.030    0.000 inspect.py:2333(_signature_from_function)
     1727    0.029    0.000    0.029    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.029    0.029 ctx_base.py:1(<module>)
        1    0.000    0.000    0.027    0.027 symbolic_opset11.py:1(<module>)
        1    0.000    0.000    0.027    0.027 _parallel_backends.py:1(<module>)
        2    0.000    0.000    0.027    0.014 fake_quantize.py:1(<module>)
     1411    0.005    0.000    0.027    0.000 library.py:71(impl)
        1    0.000    0.000    0.026    0.026 constructor.py:1(<module>)
        2    0.000    0.000    0.026    0.013 pool.py:1(<module>)
        2    0.000    0.000    0.026    0.013 observer.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _memmapping_reducer.py:1(<module>)
        1    0.000    0.000    0.025    0.025 distributed_c10d.py:1(<module>)
        1    0.000    0.000    0.024    0.024 mul.py:1(<module>)
     5923    0.002    0.000    0.024    0.000 conflict.py:19(ambiguous)
        1    0.000    0.000    0.023    0.023 intersection.py:1(<module>)
        1    0.000    0.000    0.023    0.023 case.py:1(<module>)
      385    0.003    0.000    0.023    0.000 _util.py:296(getfullargspec_no_self)
        1    0.000    0.000    0.023    0.023 hub.py:1(<module>)
        1    0.023    0.023    0.023    0.023 case.py:344(TestCase)
        1    0.005    0.005    0.023    0.023 {built-in method torch._C._initExtension}
       26    0.000    0.000    0.022    0.001 _jit_internal.py:847(_check_overload_body)
       34    0.000    0.000    0.022    0.001 core.py:59(_)
       26    0.000    0.000    0.022    0.001 _sources.py:119(parse_def)
     5923    0.015    0.000    0.021    0.000 conflict.py:12(consistent)
    57573    0.010    0.000    0.021    0.000 {built-in method builtins.max}
       86    0.000    0.000    0.021    0.000 conflict.py:56(ordering)
      104    0.000    0.000    0.021    0.000 _parser.py:970(parse)
     2432    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
  352/104    0.001    0.000    0.020    0.000 _parser.py:447(_parse_sub)
  593/115    0.008    0.000    0.020    0.000 _parser.py:507(_parse)
      778    0.003    0.000    0.020    0.000 _ops.py:553(__getattr__)
        1    0.000    0.000    0.020    0.020 polyoptions.py:1(<module>)
        1    0.000    0.000    0.020    0.020 request.py:1(<module>)
     3428    0.005    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       20    0.000    0.000    0.019    0.001 _axis_nan_policy.py:382(axis_nan_policy_decorator)
       26    0.000    0.000    0.019    0.001 _sources.py:11(get_source_lines_and_file)
      209    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        1    0.000    0.000    0.019    0.019 sympify.py:1(<module>)
      121    0.001    0.000    0.019    0.000 __init__.py:259(_make_prim)
     1955    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap>:169(__enter__)
       20    0.000    0.000    0.018    0.001 _jit_internal.py:875(_overload)
      123    0.001    0.000    0.018    0.000 dataclasses.py:528(_init_fn)
        1    0.000    0.000    0.018    0.018 multiarray.py:1(<module>)
